Child,Parent
Cardiac muscle tissue of pectinate muscle of left atrium,Cardiac muscle tissue of pectinate muscle
Cardiac muscle tissue of pectinate muscle of right atrium,Cardiac muscle tissue of pectinate muscle
Right parietal tuber,Parietal tuber
Trunk of posterior ciliary artery,Trunk of branch of ophthalmic artery
Epithelium of region of large intestine,Endo-epithelium
Synovial fluid of left C6-C7 vertebral arch joint,Synovial fluid of C6-C7 vertebral arch joint
Set of paracolic lymphatic vessels of ascending colon,Set of abdominal lymphatic vessels
Set of paracolic lymphatic vessels of transverse colon,Set of abdominal lymphatic vessels
Set of paracolic lymphatic vessels of descending colon,Set of abdominal lymphatic vessels
Set of paracolic lymphatic vessels of sigmoid colon,Set of abdominal lymphatic vessels
Periosteum of distal epiphysis of fibula,Periosteum of epiphysis of fibula
Left medial palpebral commissure,Medial palpebral commissure
Set of carpal tendinous sheaths,Set of tendon sheaths
Periosteum of diaphysis of metatarsal bone,Periosteum of zone of metatarsal bone
Left hypoglossal nerve nucleus,Hypoglossal nerve nucleus
Right posterolateral part of body of eighth thoracic vertebra,Posterolateral part of body of eighth thoracic vertebra
Dura mater of anterior root of right eighth thoracic nerve,Dura mater of anterior root of eighth thoracic nerve
Dura mater of anterior root of right seventh thoracic nerve,Dura mater of anterior root of seventh thoracic nerve
Dura mater of anterior root of eighth thoracic nerve,Dura mater of anterior root of thoracic nerve
Dura mater of anterior root of left eighth thoracic nerve,Dura mater of anterior root of eighth thoracic nerve
Dura mater of anterior root of left seventh thoracic nerve,Dura mater of anterior root of seventh thoracic nerve
Right fourth plantar tarsometatarsal ligament,Fourth plantar tarsometatarsal ligament
Left fetal lateral rectus,Fetal lateral rectus
Left colic lymph node,Intermediate colic lymph node
Surface of axis,Surface of cervical vertebra
Posterior intercondylar part of right tibia,Posterior intercondylar part of tibia
Subdivision of skeletal system,Organ system subdivision
Right subcuneiform nucleus,Subcuneiform nucleus
Gray matter of diencephalon,Gray matter of neuraxis
Cavity of joint of head of fifth rib,Cavity of joint of head of rib
Skin of lateral part of forearm,Segment of skin of forearm
Bony part of fifth thoracic vertebral arch,Bony part of thoracic vertebral arch
Distal tendon of levator scapulae,Tendon of levator scapulae
Proximal tendon of right levator scapulae,Proximal tendon of levator scapulae
Proximal tendon of levator scapulae,Tendon of levator scapulae
Proximal tendon of left levator scapulae,Proximal tendon of levator scapulae
Bone of diaphysis of right radius,Bone of diaphysis of radius
Tendon of right latissimus dorsi,Tendon of latissimus dorsi
Epiphysis of left humerus,Epiphysis of humerus
Set of cubital lymphatic vessels,Set of lymphatic vessels
Set of left infraclavicular lymphatic vessels,Set of infraclavicular lymphatic vessels
Distal epiphyseal plate of fourth metacarpal bone,Distal epiphyseal plate of metacarpal bone
Surface of left lamina of seventh thoracic vertebra,Surface of lamina of seventh thoracic vertebra
Multiform layer of left Brodmann area 5,Multiform layer of Brodmann area 5
Internal granular layer of left Brodmann area 5,Internal granular layer of Brodmann area 5
Multiform layer of right Brodmann area 5,Multiform layer of Brodmann area 5
Plexiform layer of left Brodmann area 6,Plexiform layer of Brodmann area 6
Plexiform layer of right Brodmann area 6,Plexiform layer of Brodmann area 6
Right inferior choroid vein,Inferior choroid vein
Anterior part of right inferior nasal concha,Anterior part of inferior nasal concha
Dento-alveolar joint of left lower third molar tooth,Dento-alveolar joint of molar tooth
Distal epiphysis of fibula,Epiphysis of fibula
Secondary first upper molar tooth,First maxillary molar tooth
Vasculature of pectoral part proper of female chest,Vasculature of pectoral part proper of chest
Compact bone of inferior articular process of eighth thoracic vertebra,Compact bone of inferior articular process of thoracic vertebra
Vasculature of right inframammary part of chest,Vasculature of inframammary part of chest
Vasculature of left inframammary part of chest,Vasculature of right inframammary part of chest
Vasculature of inframammary part of chest,Vasculature of region of trunk
Vasculature of pectoral part proper of male chest,Vasculature of pectoral part proper of chest
Superior border of petrous part of temporal bone,Anatomical line of skull
Trunk of trapezius branch of dorsal scapular artery,Trunk of branch of dorsal scapular artery
Precardinal anastomosis,Embryonic structure
Crown of upper central incisor tooth,Crown of incisor tooth
Subdivision of apocrine sweat gland,Subdivision of gland of skin
Epimysium of fibularis tertius,Fascia of fibularis tertius
Right pedicle of first lumbar vertebra,Pedicle of first lumbar vertebra
Left forearm,Forearm
Stroma of median lobe of prostate,Stroma of lobe of prostate
Perimysium of posterior cervical intertransversarius,Fascia of posterior cervical intertransversarius
Set of frontal planes,Set of anatomical planes
Trunk of pericardial vein,Trunk of tributary of superior systemic venous tree
Fibrocartilage of left third metatarsal bone,Fibrocartilage of third metatarsal bone
Upper branch of right internal laryngeal nerve to mucosa of pharynx,Upper branch of internal laryngeal nerve to mucosa of pharynx
Interosseous nerve of left leg,Interosseous nerve of leg
Left superior glenohumeral ligament,Superior glenohumeral ligament
Lateral surface of right talus,Lateral surface of talus
Right primary lower canine tooth,Primary lower canine tooth
Inferior pontine sulcus,Subarachnoid sulcus
Lingual surface layer of second upper molar tooth,Lingual surface layer of upper molar tooth
Epimysium of left mylohyoid,Epimysium of mylohyoid
Medial branch of posterior ramus of tenth thoracic nerve,Medial branch of posterior ramus of thoracic nerve
Parametrial lymphatic vessel,Visceral pelvic lymphatic vessel
Superior occipital gyrus,Gyrus of occipital lobe
Palpebral part of lacrimal gland,Zone of lacrimal gland
Superior bulb of right internal jugular vein,Superior bulb of internal jugular vein
Type 2A muscle fiber,Type 2 muscle cell
Tendon of right extensor digitorum longus to right fifth toe,Tendon of extensor digitorum longus to fifth toe
Left neurocentral junction of third cervical vertebra,Neurocentral junction of third cervical vertebra
Plasma membrane of glioblast,Plasma membrane of neural cell
Plasma membrane of central neuroglial cell,Plasma membrane of neuroglial cell
Plasma membrane of vestibular sensory cell,Plasma membrane of neural cell
Plasma membrane of dense-core granulated cell,Plasma membrane of neural cell
Left marginal sinus,Marginal sinus
Posterior part of left pleural cavity,Posterior part of pleural cavity
Compact bone of right fourth rib,Compact bone of fourth rib
Compact bone of left fifth rib,Compact bone of fifth rib
Compact bone of right fifth rib,Compact bone of fifth rib
Compact bone of left third rib,Compact bone of third rib
