Child,Parent
el Biar,settlement
Bida,settlement
Blad Guitoun,settlement
Bou Atelli,settlement
Bou Kisnaden,church-2
Bou Kisnaden,villa
Boulalem,settlement
Bou-Roukht,villa
el Brabeur,settlement
Cap Caxine,settlement
Cap Ivi,settlement
Cap Kramis,settlement
Caput Cilani?,fortified-settlement
Caput Cilani?,settlement
Cartenna,settlement
Cartennas (river),river
Cartili?,settlement
Casae Calventi?,settlement
Castellum Elephantaria?,settlement
Castellum Elephantaria?,settlement-modern
Castellum Tingitanum,settlement
Castellum Tulei,settlement
Castra Germanorum,fort-2
Cave-Hardy,villa
Centenarium?,settlement
Chatracharta,settlement
Chénoua,quarry
Chinalaph (river),river
Chulimath (river),river
Cissi,settlement
Dar Mendil,settlement
Djezair el Kodra,settlement
Douar Mazouna,settlement
Dra Azib Boujet,settlement
Dra Zeg et Ter,settlement
Feratenses,label
Feratenses,people
Fer(r)atus M.,mountain
Fer(r)atus M.,label
Fouka,settlement
Ghorfa des Ouled Meriem,tomb
Ghorfa des Ouled Selama,tomb
Gouraya,settlement
Gunugu,settlement
Haouch el Oudjani,fort
el Hattaba,settlement
Iar Castellum?,settlement
Icampenses,label
Icampenses,people
Icherène,settlement
Icosium,settlement
Iesalenses,label
Iesalenses,people
Imainserène,tomb
Iol Caesarea,settlement
Iol Caesarea,port
Iomnium,settlement
Iomnium,archaeological-site
Irbir,settlement
Iril Oumaali,tomb
el Isnam,settlement
Iubaleni?,label
Iubaleni?,people
Kalaa,ruin
Kalaa,settlement
Kalloul,settlement
el Karimia,settlement
el Kessour,settlement
Kherba de Sfisifa,church-2
Kherba de Sfisifa,settlement
Kherba Sidi el Ahmar,settlement
Kherbet Ramoul,settlement
Kobr Roumia,tomb
Koubba de Sidi Hamza,fortified-settlement
Koubba de Sidi Hamza,settlement
el Ksar,settlement
el Ksar mta Bent es Soltane,fort
Ksar Roumi,settlement
Lambdia,settlement
Machousioi,label
Machousioi,people
Macurebi,label
Macurebi,people
Malakoff,quarry
Manliana,settlement
Mazices,label
Mazices,people
Médiouna,settlement
Merachiche,settlement
Merachiche,settlement-modern
Mokada Nazizi,quarry
Monumentum Regiae Gentis,tomb
Musones,label
Nababes,label
Nababes,people
Nabar? (river),river
Villa of M. Cincius Hilarianus (Nador),villa
Villa of M. Cincius Hilarianus (Nador),gateway
Nekmaria,settlement
Obori?,settlement
Oppidum Novum,settlement
Oued Krerza,settlement
Oued Krerza,settlement-modern
Oued Sly,settlement
Pastorianensis (mountain),mountain
Quinquegentiani,label
Quinquegentiani,people
Quiza Cenitana,settlement
Rapidum,settlement
Rapidum,fort
Rusguniae,settlement
Rusippisir,settlement
Rusubbicari Matidiae,settlement
Rusuccuru,settlement
el Senadek,settlement
Serbes (river),river
Serbes (river),reservoir
Sidi-Abd-el-Kader,settlement
Sidi Aissa,settlement
Sidi-bou-el-Messabih,villa
Sidi-el-Masmeudi,villa
Sidi-Ghilès,settlement
Sidi-Haddouch,settlement
Souk el Khemis,settlement
Souk el Khemis,settlement-modern
Sufasar,settlement
Tabianenses,label
Tabianenses,people
Tachachit Roman Site,fortified-settlement
Tagourait,settlement
Taksebt des Ouled Said,fort
Taougnaout,settlement
Thalefsa,villa
Thanaramusa Castra,settlement
Thénia,villa
Thudedenses,label
Thudedenses,people
Tigava Castra,fort
Tigava Municipium,settlement
Tigisi,settlement
Tikoubaine,settlement
Timesratine,settlement
Timici,settlement
Timici,settlement-modern
Tipasa,settlement
Tirmlit,villa
Toulensioi,label
Toulensioi,people
Transcellensis (mountain),mountain
Trois Îlots,settlement
Vagal?,settlement
Yerroum,settlement
Zaouia de Sidi-Moussa,ruin
Zaouia de Sidi-Moussa,villa
Zucchabar,settlement
Zucchabar,settlement-modern
Dahan-i Ghulaman/Zra(n)ka?,settlement
Dahan-i Ghulaman/Zra(n)ka?,archaeological-site
Darabgird,settlement
Drangiane/Zarangiane (region),region
Dumatha,fort
Epimaranitae?/Nareitai?,people
Garm-Kerman,region
Gedrosia,region
Gedrosia,label
Harmozeia/Armuzia,region
Harmozeia/Armuzia,settlement
Harmozeia/Armuzia,coast
Aqueduct at Castellum Tingitanum,aqueduct
Untitled,aqueduct
Untitled,aqueduct
Untitled,aqueduct
Ichthyophagoi,label
Ichthyophagoi,people
Isatichai,people
Jumeirah,settlement
Jumeirah,archaeological-site
Kalaiou Nesoi,archipelago
Kalon Oros,mountain
Karkuya/‘Korok’?,settlement
Karmana,settlement
Kish,island
Korodamon? Akron,cape
Kryptos Limen?,settlement
Kuh-i Khwaja,settlement
Lakh-mazar,settlement
Macoraba,settlement
Maka/Maketa,region
Untitled,bridge
Unnamed bridges (west of Iol Caesarea),bridge
Untitled,bridge
